,IYA ASUMO BEER PALOUR ,BAR ,AJARA OLD LAGOS ROAD BADAGRY ,BADAGRY ,AJARA,SW,NIGERIA,CVHR+RQ Badagry,8128224429,"Opposite MRS Fuel Station, Opposite Nitel, Ajara, Old Lagos Rd, Badagry"
,KAYUS STORE ,WINE BAR ,SEME ROAD BADAGRY ,BADAGRY,BADAGRY ,SW,NIGERIA,CVGR+P2 Badagry,7025418765,"By Badagry Wabout, Badagry, Seme Road, Badagry"
,OBONG RESTAURANT ,FAST FOOD RESTAURANT ,AJARA BADAGRY ,BADAGRY ,AJARA ,SW,NIGERIA,CVHR+VM Badagry,8063258741,"Badagry, 14 Secreterial Road, Ajara, Badagry"
,YUSAXIFSTORE ,BAR ,103242 BADAGRY ,BADAGRY ,BADAGRY ,SW,NIGERIA,CVPQ+4Q Badagry,8098559116,"Inspectorate Rd, 103242, Badagry"
,IYA TOGO FOOD CANTEEN ,RESTAURANT ,BADAGRY ROUNDABOUT SEME ROAD ,BADAGRY ,BADAGRY ,SW,NIGERIA,CVGR+R3 Badagry,8068524122,"Badagry Round About, 99 Seme Road, Badagry"
,CHIDALU RESTAURANT AND BAR ,RESTAURANT ,SASHI 102101 LAGOS ,BADAGRY ,SASHI ,SW,NIGERIA,F5MC+6V Lagos,8025413698,"KM 22 sashi, Badagry Express way, iyana 102101, Lagos"
,ROYAL DELICACY RESTAURANT ,RESTAURANT ,103242 BADAGRY ,BADAGRY ,BADAGRY ,SW,NIGERIA,CVPX+PM Badagry,8135030855,"Old Badagry Express Way, 103242, Badagry"
,EBERE BAR AND RESTAURANT ,RESTAURANT ,102101 OJO LAGOS ,BADAGRY ,OJO,SW,NIGERIA,F5MC+7C Lagos,8036980861,"Lagos - Badagry Expy, Ojo 102101, Lagos"
,JEMBE DINE WINE ,FAMILY RESTAURANT ,AJARA LAGOS ,BADAGRY ,AJARA TOPA ,SW,NIGERIA,CVGM+R7 Badagry,7055456228,"Ajara topa junction off badagry seme expressway Badagry local government, 103101, Lagos"
,IYA JUMMY ,WINE BAR ,SEME ROAD BADAGRY ,BADAGRY ,BADAGRY ,SW,NIGERIA,CVGQ+QP Badagry,8032452685,"By Badagry Roundabout, Seme Road, Badagry"
,ENJOY BAR AND RESTAURANT ,BAR ,SEME ROAD BADAGRY ,BADAGRY ,BADAGRY ,SW,NIGERIA,CVGQ+RX Badagry,8025340595,"Opposite Skye Bank, 32 Seme Road, Badagry"
